open,high,low,close,adjclose,volume,ticker
17905.80078125,17924.900390625,17800.30078125,17826.69921875,17826.69921875,198200.0,^NSEI
14522.400390625,14597.5498046875,14353.2001953125,14581.4501953125,14581.4501953125,568000.0,^NSEI
11392.849609375,11398.150390625,11301.25,11346.2001953125,11346.2001953125,516000.0,^NSEI
19374.849609375,19377.900390625,19309.099609375,19342.650390625,19342.650390625,307400.0,^NSEI
15951.5498046875,16146.900390625,15914.349609375,16130.75,16130.75,341300.0,^NSEI
19748.44921875,19782.75,19658.30078125,19672.349609375,19672.349609375,265600.0,^NSEI
11044.5498046875,11117.349609375,10878.7998046875,11016.900390625,11016.900390625,306200.0,^NSEI
17868.150390625,17965.94921875,17833.349609375,17944.25,17944.25,262800.0,^NSEI
17009.05078125,17054.30078125,16888.69921875,16953.94921875,16953.94921875,275700.0,^NSEI
14104.349609375,14147.9501953125,13953.75,14132.900390625,14132.900390625,495000.0,^NSEI
14604.150390625,14637.900390625,14506.599609375,14617.849609375,14617.849609375,455900.0,^NSEI
15794.0,15820.7998046875,15744.599609375,15812.349609375,15812.349609375,246700.0,^NSEI
15737.2998046875,15821.400390625,15702.7001953125,15790.4501953125,15790.4501953125,316700.0,^NSEI
17360.099609375,17467.75,17345.25,17450.900390625,17450.900390625,272900.0,^NSEI
9026.75,9209.75,8946.25,9187.2998046875,9187.2998046875,734400.0,^NSEI
12119.0,12152.0,12071.4501953125,12080.849609375,12080.849609375,502600.0,^NSEI
10644.0,10695.150390625,10631.150390625,10682.2001953125,10682.2001953125,342800.0,^NSEI
16561.400390625,16647.099609375,16495.30078125,16624.599609375,16624.599609375,275400.0,^NSEI
18340.30078125,18404.900390625,18202.650390625,18385.30078125,18385.30078125,169000.0,^NSEI
18089.80078125,18149.25,17967.44921875,18132.30078125,18132.30078125,214300.0,^NSEI
9213.9501953125,9281.099609375,9119.75,9142.75,9142.75,602600.0,^NSEI
17653.349609375,17666.150390625,17579.849609375,17618.75,17618.75,281500.0,^NSEI
15766.2998046875,15800.4501953125,15566.900390625,15635.349609375,15635.349609375,457900.0,^NSEI
8949.099609375,9038.900390625,8522.900390625,8660.25,8660.25,801500.0,^NSEI
15855.400390625,15885.75,15682.900390625,15727.900390625,15727.900390625,307900.0,^NSEI
17997.75,18081.25,17964.400390625,18055.75,18055.75,220200.0,^NSEI
18723.30078125,18864.69921875,18710.5,18826.0,18826.0,272800.0,^NSEI
10844.0498046875,10866.599609375,10798.650390625,10849.7998046875,10849.7998046875,361100.0,^NSEI
14326.349609375,14461.150390625,14273.2998046875,14341.349609375,14341.349609375,498100.0,^NSEI
10742.0498046875,10751.5498046875,10294.4501953125,10451.4501953125,10451.4501953125,1565500.0,^NSEI
15211.349609375,15256.25,15145.4501953125,15197.7001953125,15197.7001953125,579800.0,^NSEI
10702.25,10710.2001953125,10612.849609375,10651.7998046875,10651.7998046875,410100.0,^NSEI
17680.349609375,17799.94921875,17671.94921875,17711.44921875,17711.44921875,362800.0,^NSEI
12219.5498046875,12225.650390625,12139.7998046875,12174.650390625,12174.650390625,501200.0,^NSEI
17517.099609375,17653.900390625,17445.94921875,17610.400390625,17610.400390625,490100.0,^NSEI
11697.349609375,11725.650390625,11557.400390625,11669.150390625,11669.150390625,568400.0,^NSEI
10271.2998046875,10296.7001953125,10211.900390625,10226.849609375,10226.849609375,186500.0,^NSEI
11566.599609375,11604.599609375,11532.0,11557.099609375,11557.099609375,218800.0,^NSEI
15119.0498046875,15168.25,14977.2001953125,15106.5,15106.5,624800.0,^NSEI
10078.099609375,10275.2998046875,10020.349609375,10250.849609375,10250.849609375,364400.0,^NSEI
15917.400390625,15984.75,15775.2001953125,15809.400390625,15809.400390625,313900.0,^NSEI
10872.7998046875,10885.150390625,10804.849609375,10840.650390625,10840.650390625,519200.0,^NSEI
11601.150390625,11639.5498046875,11538.599609375,11552.5,11552.5,359400.0,^NSEI
15958.349609375,15962.25,15882.599609375,15923.400390625,15923.400390625,276300.0,^NSEI
17443.849609375,17622.75,17361.80078125,17396.900390625,17396.900390625,339100.0,^NSEI
18600.80078125,18622.75,18531.599609375,18599.0,18599.0,220800.0,^NSEI
15977.0,16083.599609375,15740.849609375,15782.150390625,15782.150390625,369100.0,^NSEI
17287.19921875,17337.349609375,17216.94921875,17314.650390625,17314.650390625,216300.0,^NSEI
10744.099609375,10808.849609375,10721.5,10789.849609375,10789.849609375,279600.0,^NSEI
13012.0498046875,13035.2998046875,12914.2998046875,12968.9501953125,12968.9501953125,1162400.0,^NSEI
11999.7998046875,12039.25,11829.4501953125,11922.7998046875,11922.7998046875,438900.0,^NSEI
12005.849609375,12098.150390625,11953.349609375,12089.150390625,12089.150390625,758000.0,^NSEI
17970.900390625,18012.25,17847.599609375,17888.94921875,17888.94921875,296400.0,^NSEI
16592.25,16592.5,16395.69921875,16496.44921875,16496.44921875,275600.0,^NSEI
12131.349609375,12134.650390625,12046.2998046875,12053.9501953125,12053.9501953125,437700.0,^NSEI
11070.4501953125,11118.099609375,11043.599609375,11069.400390625,11069.400390625,263500.0,^NSEI
19666.349609375,19772.75,19597.599609375,19753.80078125,19753.80078125,295100.0,^NSEI
17443.80078125,17451.5,17324.349609375,17412.900390625,17412.900390625,235900.0,^NSEI
11609.2998046875,11617.349609375,11540.599609375,11559.25,11559.25,719800.0,^NSEI
15800.599609375,15862.7998046875,15744.849609375,15763.0498046875,15763.0498046875,400000.0,^NSEI
16761.650390625,16793.849609375,16567.900390625,16584.30078125,16584.30078125,245500.0,^NSEI
10986.7998046875,11084.4501953125,10945.75,11075.900390625,11075.900390625,624300.0,^NSEI
16288.9501953125,16349.4501953125,16210.2998046875,16294.599609375,16294.599609375,418200.0,^NSEI
17156.30078125,17196.400390625,16978.30078125,17016.30078125,17016.30078125,492000.0,^NSEI
9390.2001953125,9390.849609375,9230.7998046875,9261.849609375,9261.849609375,726400.0,^NSEI
14837.7001953125,14849.849609375,14459.5,14637.7998046875,14637.7998046875,509700.0,^NSEI
17967.44921875,17971.349609375,17798.19921875,17873.599609375,17873.599609375,232100.0,^NSEI
10815.400390625,11018.5498046875,10813.7998046875,10948.25,10948.25,517900.0,^NSEI
18272.349609375,18362.30078125,18259.349609375,18349.69921875,18349.69921875,378500.0,^NSEI
11901.2998046875,12041.150390625,11614.5,11657.0498046875,11657.0498046875,569000.0,^NSEI
11596.650390625,11670.0498046875,11573.9501953125,11662.599609375,11662.599609375,480200.0,^NSEI
11633.2998046875,11744.150390625,11606.4501953125,11670.7998046875,11670.7998046875,555000.0,^NSEI
12123.75,12189.0,12094.099609375,12180.349609375,12180.349609375,867700.0,^NSEI
18097.849609375,18197.80078125,18050.75,18161.75,18161.75,506700.0,^NSEI
13980.900390625,13997.0,13864.9501953125,13981.9501953125,13981.9501953125,380700.0,^NSEI
11231.2001953125,11238.099609375,11056.5498046875,11132.599609375,11132.599609375,765100.0,^NSEI
17401.55078125,17436.5,17287.0,17362.099609375,17362.099609375,243400.0,^NSEI
19301.75,19373.80078125,19253.599609375,19310.150390625,19310.150390625,256100.0,^NSEI
15270.2998046875,15340.150390625,15243.400390625,15314.7001953125,15314.7001953125,456000.0,^NSEI
10612.650390625,10646.25,10512.0,10526.75,10526.75,239500.0,^NSEI
15849.2998046875,15893.349609375,15797.0,15824.4501953125,15824.4501953125,267100.0,^NSEI
10488.900390625,10489.349609375,10302.75,10378.400390625,10378.400390625,187300.0,^NSEI
15064.400390625,15273.150390625,14995.7998046875,15245.599609375,15245.599609375,544200.0,^NSEI
10905.2998046875,10908.25,10718.2998046875,10741.349609375,10741.349609375,668200.0,^NSEI
16847.94921875,17148.55078125,16843.80078125,17092.19921875,17092.19921875,300100.0,^NSEI
19493.44921875,19595.349609375,19433.5,19564.5,19564.5,291200.0,^NSEI
11675.599609375,11677.150390625,11582.400390625,11596.900390625,11596.900390625,498300.0,^NSEI
17770.400390625,17919.30078125,17744.400390625,17816.25,17816.25,263100.0,^NSEI
17208.30078125,17373.5,17077.099609375,17101.94921875,17101.94921875,355300.0,^NSEI
11340.099609375,11380.75,11250.2001953125,11369.900390625,11369.900390625,268200.0,^NSEI
14364.900390625,14528.900390625,14274.900390625,14504.7998046875,14504.7998046875,605100.0,^NSEI
15818.2001953125,16011.349609375,15800.900390625,15989.7998046875,15989.7998046875,288400.0,^NSEI
15421.2001953125,15469.650390625,15394.75,15435.650390625,15435.650390625,468100.0,^NSEI
10862.400390625,10870.400390625,10749.400390625,10855.150390625,10855.150390625,333000.0,^NSEI
10902.75,10956.900390625,10876.650390625,10947.25,10947.25,197000.0,^NSEI
10899.2001953125,11058.0498046875,10842.9501953125,11032.4501953125,11032.4501953125,482500.0,^NSEI
10820.4501953125,10821.0498046875,10747.9501953125,10782.900390625,10782.900390625,312300.0,^NSEI
10742.7001953125,10837.0,10710.4501953125,10821.849609375,10821.849609375,229800.0,^NSEI
17147.44921875,17287.30078125,17117.30078125,17274.30078125,17274.30078125,226000.0,^NSEI
11101.2998046875,11129.650390625,10987.650390625,11046.099609375,11046.099609375,550000.0,^NSEI
10488.9501953125,10535.5,10461.5498046875,10492.849609375,10492.849609375,286000.0,^NSEI
9968.7998046875,10027.7001953125,9951.900390625,9998.0498046875,9998.0498046875,285700.0,^NSEI
16527.900390625,16695.5,16506.150390625,16661.400390625,16661.400390625,251400.0,^NSEI
11904.2001953125,11973.650390625,11879.25,11895.4501953125,11895.4501953125,580200.0,^NSEI
17706.19921875,17794.599609375,17674.80078125,17780.0,17780.0,271200.0,^NSEI
